id,nom,geo_point_2d,secteur,commune,adresse,type_dechet,horaires_ouverture,jours_ouverture,types_materiaux
5435,ordures ménagères résiduelles enterré,"45.14633,5.70047",Sud,Echirolles,14-16-18 Avenue Danièle Casanova,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5125,ordures ménagères résiduelles enterré,"45.19809,5.69308",Nord-Ouest,Fontaine,Boulevard Joliot Curie / Place de la Commune de Paris,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5128,collecte sélective enterré,"45.19854,5.69262",Nord-Ouest,Fontaine,Boulevard Joliot Curie / Rue de la Bastille,collecte sélective,24h,tous les jours,collecte sélective
5153,ordures ménagères résiduelles enterré,"45.2474,5.67003",Nord-Ouest,Fontanil Cornillon,31 rue du Rocher / 23 rue Grange de l'Or,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5384,collecte sélective enterré,"45.25418,5.66115",Nord-Ouest,Fontanil Cornillon,3a Impasse des Mûriers,collecte sélective,24h,tous les jours,collecte sélective
5383,ordures ménagères résiduelles enterré,"45.25416,5.66111",Nord-Ouest,Fontanil Cornillon,3a Impasse des Mûriers,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5071,collecte sélective enterré,"45.25071,5.6686",Nord-Ouest,Fontanil Cornillon,49 Rue du Cornillon,collecte sélective,24h,tous les jours,collecte sélective
5070,ordures ménagères résiduelles enterré,"45.25068,5.66863",Nord-Ouest,Fontanil Cornillon,49 Rue du Cornillon,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5074,ordures ménagères résiduelles enterré,"45.25886,5.66364",Nord-Ouest,Fontanil Cornillon,Allée de la Cerisaie / Cimetière,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5350,ordures ménagères résiduelles enterré,"45.17153,5.73432",Nord-Est,Grenoble,Rue Paul Claudel / Rue Gérard Philippe / Place Charles Dullin Nord,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5217,ordures ménagères résiduelles enterré,"45.19679,5.69301",Nord-Ouest,Fontaine,2 Rue Romain Rolland / Centre social / Boulodrome / Square Sommatino,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3167,emballages aérien,"45.20886,5.79573",Nord-Est,Meylan,53 Chemin du Vieux Chêne,emballages,24h,tous les jours,emballages
5419,ordures ménagères résiduelles enterré,"45.2542,5.66229",Nord-Ouest,Fontanil Cornillon,25-27 rue de Palluel,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5067,ordures ménagères résiduelles enterré,"45.24836,5.66896",Nord-Ouest,Fontanil Cornillon,Rue du Rocher / Rue des Ecoles / Rue Meyretière (rond-point),ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5088,collecte sélective enterré,"45.2568,5.66482",Nord-Ouest,Fontanil Cornillon,Rue Fetola / MJC / Entrepierre,collecte sélective,24h,tous les jours,collecte sélective
5087,ordures ménagères résiduelles enterré,"45.25682,5.6648",Nord-Ouest,Fontanil Cornillon,Rue Fetola / MJC / Entrepierre,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
1016,verre aérien,"45.22569,5.78473",Nord-Est,Meylan,Chemin de Rochasson / Chemin de l'Eglise,verre,24h,tous les jours,verre
5055,collecte sélective enterré,"45.17084,5.70258",Nord-Ouest,Grenoble,15 Rue Albert Thomas,collecte sélective,24h,tous les jours,collecte sélective
5054,ordures ménagères résiduelles enterré,"45.17084,5.70256",Nord-Ouest,Grenoble,15 Rue Albert Thomas,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5059,ordures ménagères résiduelles enterré,"45.16981,5.70313",Nord-Ouest,Grenoble,"27, 29, 31, 33 Rue Albert Thomas",ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3135,emballages aérien,"45.26334,5.69963",Nord-Ouest,Proveysieux,Ecole / Route du Gua (D105),emballages,24h,tous les jours,emballages
3153,emballages aérien,"45.24836,5.69678",Nord-Ouest,Proveysieux,Grange Haute,emballages,24h,tous les jours,emballages
3001,emballages aérien,"45.24827,5.69676",Nord-Ouest,Proveysieux,Grange Haute,emballages,24h,tous les jours,emballages
2002,papier aérien,"45.28237,5.71067",Nord-Ouest,Proveysieux,Pomarey / Salle des fêtes / Bibliothèque,papier,24h,tous les jours,papier
3002,emballages aérien,"45.28238,5.71062",Nord-Ouest,Proveysieux,Pomarey / Salle des fêtes / Bibliothèque,emballages,24h,tous les jours,emballages
505,verre aérien,"45.17147,5.71811",Sud,Grenoble,Rue Marquian / Chemin des Alpins,verre,24h,tous les jours,verre
3003,emballages aérien,"45.25323,5.70038",Nord-Ouest,Quaix en Chartreuse,Bas de Quaix / Route de Saint Egrève,emballages,24h,tous les jours,emballages
5437,ordures ménagères résiduelles enterré,"45.1459,5.70032",Sud,Echirolles,20-22-24 Avenue Danièle Casanova,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5441,ordures ménagères résiduelles enterré,"45.23088,5.67975",Nord-Ouest,Saint Egrève,21 Rue de la Contamine / Mas des Lys,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5442,ordures ménagères résiduelles enterré,"45.23086,5.67978",Nord-Ouest,Saint Egrève,21 Rue de la Contamine / Mas des Lys,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5443,ordures ménagères résiduelles enterré,"45.23085,5.67975",Nord-Ouest,Saint Egrève,21 Rue de la Contamine / Mas des Lys,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5438,collecte sélective enterré,"45.14593,5.70032",Sud,Echirolles,20-22-24 Avenue Danièle Casanova,collecte sélective,24h,tous les jours,collecte sélective
5439,ordures ménagères résiduelles enterré,"45.14548,5.70013",Sud,Echirolles,26-28-30 Avenue Danièle Casanova,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5434,collecte sélective enterré,"45.14679,5.70064",Sud,Echirolles,8-10-12 Avenue Danièle Casanova,collecte sélective,24h,tous les jours,collecte sélective
5433,ordures ménagères résiduelles enterré,"45.14677,5.70064",Sud,Echirolles,8-10-12 Avenue Danièle Casanova,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
3149,emballages aérien,"45.2494,5.74245",Nord-Ouest,Quaix en Chartreuse,Montquaix - Combe Blanche / 1382 Route de Sarcenas,emballages,24h,tous les jours,emballages
2131,papier aérien,"45.24934,5.74249",Nord-Ouest,Quaix en Chartreuse,Montquaix - Combe Blanche / 1382 Route de Sarcenas,papier,24h,tous les jours,papier
5239,collecte sélective enterré,"45.23379,5.67814",Nord-Ouest,Saint Egrève,2 Rue Saint Robert / Avenue Général De Gaulle / Chateau Tourette,collecte sélective,24h,tous les jours,collecte sélective
5240,collecte sélective enterré,"45.23376,5.67816",Nord-Ouest,Saint Egrève,2 Rue Saint Robert / Avenue Général De Gaulle / Chateau Tourette,collecte sélective,24h,tous les jours,collecte sélective
5237,ordures ménagères résiduelles enterré,"45.23373,5.67818",Nord-Ouest,Saint Egrève,2 Rue Saint Robert / Avenue Général De Gaulle / Chateau Tourette,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5238,ordures ménagères résiduelles enterré,"45.2337,5.6782",Nord-Ouest,Saint Egrève,2 Rue Saint Robert / Avenue Général De Gaulle / Chateau Tourette,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5332,collecte sélective enterré,"45.24396,5.66657",Nord-Ouest,Saint Egrève,20-20bis Rue de la Chartreuse,collecte sélective,24h,tous les jours,collecte sélective
5334,collecte sélective enterré,"45.24463,5.66598",Nord-Ouest,Saint Egrève,20ter-22 Rue de la Chartreuse,collecte sélective,24h,tous les jours,collecte sélective
5336,ordures ménagères résiduelles enterré,"45.24511,5.66721",Nord-Ouest,Saint Egrève,22ter-24-26 Rue de la Chartreuse,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5234,ordures ménagères résiduelles enterré,"45.23175,5.68027",Nord-Ouest,Saint Egrève,25 Avenue Général De Gaulle / Commerces / Faubourg,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5235,ordures ménagères résiduelles enterré,"45.23173,5.68023",Nord-Ouest,Saint Egrève,25 Avenue Général De Gaulle / Commerces / Faubourg,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5256,collecte sélective enterré,"45.24467,5.66769",Nord-Ouest,Saint Egrève,28 Rue de la Chartreuse,collecte sélective,24h,tous les jours,collecte sélective
5254,ordures ménagères résiduelles enterré,"45.24459,5.66776",Nord-Ouest,Saint Egrève,28 Rue de la Chartreuse,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5255,ordures ménagères résiduelles enterré,"45.24463,5.66773",Nord-Ouest,Saint Egrève,28 Rue de la Chartreuse,ordures ménagères résiduelles,24h,tous les jours,ordures ménagères résiduelles
5229,collecte sélective enterré,"45.23178,5.68176",Nord-Ouest,Saint Egrève,Impasse du Châtelet / aire de retournement en bout d'impasse,collecte sélective,24h,tous les jours,collecte sélective
